method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
single_cut_coassociation,1.0,0.0124999999999999,0.011641726866185,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.245477563834135,2.2352435356231144,5000,20,15504,5000,5000,random_unique,5,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.4964928228225668,0.4944896693737339,5000,20,15504,5000,5000,random_unique,5,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.020260326802642,11.910128040601151,5000,20,15504,5000,5000,random_unique,5,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0116666666666666,0.0117183333333333,5000,20,15504,5000,5000,random_unique,5,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2545287298464087,2.2444502060070284,5000,20,38760,5000,5000,random_unique,6,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.515118462535602,0.513482960656087,5000,20,38760,5000,5000,random_unique,6,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.056748820423437,11.961045551867334,5000,20,38760,5000,5000,random_unique,6,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0111111111111111,0.0115841666666666,5000,20,38760,5000,5000,random_unique,6,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.261600838034674,2.2521936520627155,5000,20,77520,5000,5000,random_unique,7,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.5331774646715479,0.532179172531509,5000,20,77520,5000,5000,random_unique,7,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
